Number,Scene,Who,Content
0,LionDance,Player,"睡着的時候肉都烤焦了"
1,LionDance,Player,"窗戶和房間都要打開"
2,LionDance,Player,"現在回到廚房吧"
3,LionDance,Player,"外面有什麼東西... 要關上外面的窗戶"
4,Clown,Clown,"我來說明一下挑戰"
5,Clown,Clown,"騎這輛獨輪自行車過單行線,走到對面的塔樓"
6,Clown,Clown,"自行車自動向前。 所以請左右保持平衡"
7,Clown,Clown,"如果落選了 請再來這裏"
8,Clown,Clown,"剩下的挑戰機會是"
9,Clown,Clown,"次"
10,Clown,Clown,"請好好跟着我"
11,Clown,Clown,"等一下"
12,Clown,Clown,"怕太簡單，所以稍微修改了一下。 現在要出發了"
13,Clown,Clown,"這個難嗎?"
14,Clown,Clown,"你是故意的嗎？"
15,Clown,Clown,"最後一次機會"
16,Clown,Clown,"做得好！"
17,Clown,Clown,"你糟糕的實力讓觀衆失望了！"
18,Spaceship,FishMan,"宇宙飛船爆炸了！ 啊啊啊啊啊啊！"
19,Spaceship,Man001,"這條魚擋住了人類通往餐廳的唯一道路"
20,Spaceship,Man001,"好像被從剛纔開始的震動嚇到了"
21,Spaceship,Man001,"樓下到底發生了什麼事情？"
22,Spaceship,Guard001,"此門以外禁止出入"
23,Spaceship,Guard001,"請回去"
24,Spaceship,Guard001,"非常感謝大家送給我禮物"
25,Spaceship,Guard001,"想快點看看裏面裝的是什麼！"
26,All,Player,"包內已沒有空間"
27,ArtGallery,DeskMan,"歡迎來到夢想展覽館！"
28,ArtGallery,DeskMan,"這裏展示着與夢想相關的各種物品，每個展品前都配置着VR設備"
29,ArtGallery,DeskMan,"看着VR機器，按下'相互作用'鍵（E）體驗夢想"
30,All,All,"......"
