Number,Scene,Who,Content
0,LionDance,Player,"Trong lúc ngủ một lúc, thịt đã cháy hết"
1,LionDance,Player,"Tôi phải mở cả cửa sổ và phòng"
2,LionDance,Player,"Bây giờ chúng ta hãy quay trở lại bếp"
3,LionDance,Player,"Có gì đó bên ngoài... Phải đóng cửa sổ bên ngoài lại"
4,Clown,Clown,"Tôi sẽ giải thích về thử thách"
5,Clown,Clown,"Hãy băng qua sợi dây đơn bằng chiếc xe đạp một bánh này và đi đến tòa tháp đối diện"
6,Clown,Clown,"xe đạp tự động chạy về phía trước. Vì vậy, hãy giữ thăng bằng từ trái sang phải"
7,Clown,Clown,"Nếu rơi xuống thì hãy quay lại đây"
8,Clown,Clown,"Còn lại"
9,Clown,Clown,"cơ hội thử thách nhé"
10,Clown,Clown,"Hãy đi theo tôi"
11,Clown,Clown,"Chờ chút nhé"
12,Clown,Clown,"Tôi đã sửa một chút vì sợ nó quá dễ dàng. Chúng ta xuất phát đây"
13,Clown,Clown,"Cái này có khó không ạ?"
14,Clown,Clown,"Anh cố tình làm vậy sao?"
15,Clown,Clown,"Đây là cơ hội cuối cùng"
16,Clown,Clown,"Làm tốt lắm!"
17,Clown,Clown,"Khán giả thất vọng vì thực lực kém cỏi của bạn!"
18,Spaceship,FishMan,"tàu vũ trụ nổ tung! Á á á á á á á á á"
19,Spaceship,Man001,"Con cá này đã chặn đường duy nhất của con người đến nhà hàng"
20,Spaceship,Man001,"Tôi cảm thấy sợ hãi trước những rung động liên tục từ nãy đến giờ"
21,Spaceship,Man001,"Chuyện quái gì xảy ra ở tầng dưới vậy?"
22,Spaceship,Guard001,"là khu vực cấm ra vào bên kia cánh cửa này"
23,Spaceship,Guard001,"Đi chỗ khác đi"
24,Spaceship,Guard001,"Cảm ơn rất nhiều vì đã tặng quà cho tôi"
25,Spaceship,Guard 001,"Tôi muốn nhanh xem bên trong có gì!"
26,All,Player,"Không còn chỗ trong túi nữa"
27,Art Gallery,DeskMan,"Chào mừng đến với triển lãm giấc mơ!"
28,Art Gallery,DeskMan,"Nơi đây trưng bày nhiều đồ vật liên quan đến giấc mơ, phía trước mỗi vật trưng bày đều có một thiết bị VR"
29,Art Gallery,DeskMan,"Bạn có thể nhìn vào thiết bị VR và nhấn phím 'Tương tác' (E) để trải nghiệm giấc mơ"
30,All,All,"......"
