Number,Scene,Who,Content
0,LionDance,Player,"睡着的时候肉都烤焦了"
1,LionDance,Player,"窗户和房间都要打开"
2,LionDance,Player,"现在回到厨房吧"
3,LionDance,Player,"外面有什么东西... 要关上外面的窗户"
4,Clown,Clown,"我来说明一下挑战"
5,Clown,Clown,"骑这辆独轮自行车过单行线,走到对面的塔楼"
6,Clown,Clown,"自行车自动向前。 所以请左右保持平衡"
7,Clown,Clown,"如果落选了 请再来这里"
8,Clown,Clown,"剩下的挑战机会是"
9,Clown,Clown,"次"
10,Clown,Clown,"请好好跟着我"
11,Clown,Clown,"等一下"
12,Clown,Clown,"怕太简单，所以稍微修改了一下。 现在要出发了"
13,Clown,Clown,"这个难吗?"
14,Clown,Clown,"你是故意的吗？"
15,Clown,Clown,"最后一次机会"
16,Clown,Clown,"做得好！"
17,Clown,Clown,"你糟糕的实力让观众失望了！"
18,Spaceship,FishMan,"宇宙飞船爆炸了！ 啊啊啊啊啊啊！"
19,Spaceship,Man001,"这条鱼挡住了人类通往餐厅的唯一道路"
20,Spaceship,Man001,"好像被从刚才开始的震动吓到了"
21,Spaceship,Man001,"楼下到底发生了什么事情？"
22,Spaceship,Guard001,"此门以外禁止出入"
23,Spaceship,Guard001,"请回去"
24,Spaceship,Guard001,"非常感谢大家送给我礼物"
25,Spaceship,Guard001,"想快点看看里面装的是什么！"
26,All,Player,"包内已没有空间"
27,ArtGallery,DeskMan,"欢迎来到梦想展览馆！"
28,ArtGallery,DeskMan,"这里展示着与梦想相关的各种物品，每个展品前都配置着VR设备"
29,ArtGallery,DeskMan,"看着VR机器，按下'相互作用'键（E）体验梦想"
30,All,All,"......"
